Wypisanie po algorytmie: 
Sciezka: 
1366, 1326, 1286, 1246, 1206, 1166, 1126, 1086, 1085, 1084, 1083, 
Najkrotsza droga z 0 do kolejnych wierzcholkow: 
dist 1000000 , prev  1000000 ,  node 0 ,  0
dist 1000000 , prev  1000000 ,  node 1 ,  1
dist 1000000 , prev  1000000 ,  node 2 ,  2
dist 1000000 , prev  1000000 ,  node 3 ,  3
dist 1000000 , prev  1000000 ,  node 4 ,  4
dist 1000000 , prev  1000000 ,  node 5 ,  5
dist 1000000 , prev  1000000 ,  node 6 ,  6
dist 1000000 , prev  1000000 ,  node 7 ,  7
dist 1000000 , prev  1000000 ,  node 8 ,  8
dist 1000000 , prev  1000000 ,  node 9 ,  9
dist 1000000 , prev  1000000 ,  node 10 ,  10
dist 1000000 , prev  1000000 ,  node 11 ,  11
dist 1000000 , prev  1000000 ,  node 12 ,  12
dist 1000000 , prev  1000000 ,  node 13 ,  13
dist 1000000 , prev  1000000 ,  node 14 ,  14
dist 1000000 , prev  1000000 ,  node 15 ,  15
dist 1000000 , prev  1000000 ,  node 16 ,  16
dist 1000000 , prev  1000000 ,  node 17 ,  17
dist 1000000 , prev  1000000 ,  node 18 ,  18
dist 1000000 , prev  1000000 ,  node 19 ,  19
dist 1000000 , prev  1000000 ,  node 20 ,  20
dist 1000000 , prev  1000000 ,  node 21 ,  21
dist 1000000 , prev  1000000 ,  node 22 ,  22
dist 1000000 , prev  1000000 ,  node 23 ,  23
dist 1000000 , prev  1000000 ,  node 24 ,  24
dist 1000000 , prev  1000000 ,  node 25 ,  25
dist 1000000 , prev  1000000 ,  node 26 ,  26
dist 1000000 , prev  1000000 ,  node 27 ,  27
dist 1000000 , prev  1000000 ,  node 28 ,  28
dist 1000000 , prev  1000000 ,  node 29 ,  29
dist 1000000 , prev  1000000 ,  node 30 ,  30
dist 1000000 , prev  1000000 ,  node 31 ,  31
dist 1000000 , prev  1000000 ,  node 32 ,  32
dist 1000000 , prev  1000000 ,  node 33 ,  33
dist 1000000 , prev  1000000 ,  node 34 ,  34
dist 1000000 , prev  1000000 ,  node 35 ,  35
dist 1000000 , prev  1000000 ,  node 36 ,  36
dist 1000000 , prev  1000000 ,  node 37 ,  37
dist 1000000 , prev  1000000 ,  node 38 ,  38
dist 1000000 , prev  1000000 ,  node 39 ,  39
dist 1000000 , prev  1000000 ,  node 40 ,  40
dist 1000000 , prev  1000000 ,  node 41 ,  41
